FID,GEOID10,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,GEOG_UNIT,Cases,cases_nume,zcta,pop_total,White,Hispanic_o,Black_or_A,Asian,American_I,Two_or_mor,pct_nonwhi,pct_black,pct_latinx,pct_asian,pct_native,largest_mi,cases_per_,index_righ,year,geoid,name,variable,estimate,moe
39,55092,55092,B5,G6350,S,87237515.000000000000000,10089125.000000000000000,+45.3341255,-093.0998159,93434.299163000003318,97248970.593099996447563,55092,20,20.000000000000000,55092,10836.000000000000000,10360.000000000000000,143.000000000000000,30.000000000000000,25.000000000000000,67.000000000000000,211.000000000000000,0.043927648578811,0.002768549280177,0.013196751568845,0.002307124400148,0.006183093392396,latinx,1.845699520118125,1.000000000000000,2018,55092,ZCTA5 55092,median_hh_income,83074,5867
40,55101,55101,B5,G6350,S,2107838.000000000000000,131567.000000000000000,+44.9514831,-093.0906486,9300.363226960000247,2237610.625299999956042,55101,64,64.000000000000000,55101,7234.000000000000000,5048.000000000000000,394.000000000000000,752.000000000000000,539.000000000000000,48.000000000000000,444.000000000000000,0.302184130494885,0.103953552667957,0.054465026264860,0.074509261819187,0.006635333149019,black,8.847110865358031,61.000000000000000,2018,55101,ZCTA5 55101,median_hh_income,51531,7491
41,55102,55102,B5,G6350,S,8429724.000000000000000,708202.000000000000000,+44.9319008,-093.1212908,16847.922395099998539,9130651.937599999830127,55102,172,172.000000000000000,55102,18346.000000000000000,13582.000000000000000,1351.000000000000000,2060.000000000000000,372.000000000000000,110.000000000000000,819.000000000000000,0.259675133544097,0.112286056906138,0.073640030524365,0.020276899596642,0.005995857407609,black,9.375340673716341,18.000000000000000,2018,55102,ZCTA5 55102,median_hh_income,56084,2845
42,55103,55103,B5,G6350,S,5404826.000000000000000,287953.000000000000000,+44.9642576,-093.1226267,17890.264160099999572,5688232.075939999893308,55103,189,189.000000000000000,55103,13947.000000000000000,4250.000000000000000,563.000000000000000,4687.000000000000000,3597.000000000000000,68.000000000000000,775.000000000000000,0.695274969527497,0.336057933605793,0.040367104036710,0.257904925790493,0.004875600487560,black,13.551301355130136,61.000000000000000,2018,55103,ZCTA5 55103,median_hh_income,33849,3700
43,55104,55104,B5,G6350,S,15687982.000000000000000,121368.000000000000000,+44.9538936,-093.1644464,22028.498416099999304,15796771.481799999251962,55104,388,388.000000000000000,55104,45535.000000000000000,26754.000000000000000,2733.000000000000000,8745.000000000000000,3884.000000000000000,656.000000000000000,2451.000000000000000,0.412451960030746,0.192050071373669,0.060019765015922,0.085297024267047,0.014406500494125,black,8.520917975183925,61.000000000000000,2018,55104,ZCTA5 55104,median_hh_income,60474,2643
44,55105,55105,B5,G6350,S,9355434.000000000000000,492928.000000000000000,+44.9371797,-093.1682786,22528.057078199999523,9840529.545809999108315,55105,92,92.000000000000000,55105,26729.000000000000000,23885.000000000000000,704.000000000000000,549.000000000000000,889.000000000000000,14.000000000000000,673.000000000000000,0.106401286991657,0.020539488944592,0.026338433910734,0.033259755321935,0.000523775674361,asian,3.441954431516331,61.000000000000000,2018,55105,ZCTA5 55105,median_hh_income,88341,5833
45,55106,55106,B5,G6350,S,22416171.000000000000000,1287130.000000000000000,+44.9635473,-093.0495221,39780.550465200001781,23684357.702399998903275,55106,877,877.000000000000000,55106,58160.000000000000000,18918.000000000000000,6457.000000000000000,8274.000000000000000,20899.000000000000000,344.000000000000000,3212.000000000000000,0.674724896836314,0.142262723521320,0.111021320495186,0.359336313617607,0.005914718019257,asian,15.079092159559837,61.000000000000000,2018,55106,ZCTA5 55106,median_hh_income,50193,2282
46,55107,55107,B5,G6350,S,10642414.000000000000000,1380633.000000000000000,+44.9310700,-093.0791720,17412.140808200001629,12013442.630799999460578,55107,175,175.000000000000000,55107,15171.000000000000000,6502.000000000000000,4572.000000000000000,2060.000000000000000,757.000000000000000,355.000000000000000,913.000000000000000,0.571419154966713,0.135785380001318,0.301364445323314,0.049897831388834,0.023399907718674,latinx,11.535165776811022,18.000000000000000,2018,55107,ZCTA5 55107,median_hh_income,51893,4091
47,55108,55108,B5,G6350,S,10182433.000000000000000,49998.000000000000000,+44.9824823,-093.1748798,19776.100421200000710,10224294.037699999287724,55108,161,161.000000000000000,55108,15929.000000000000000,11485.000000000000000,653.000000000000000,1283.000000000000000,1851.000000000000000,61.000000000000000,570.000000000000000,0.278988009291230,0.080544918073953,0.040994412706385,0.116203151484713,0.003829493376860,asian,10.107351371711971,61.000000000000000,2018,55108,ZCTA5 55108,median_hh_income,69918,6220
48,55109,55109,B5,G6350,S,30289772.000000000000000,1980044.000000000000000,+45.0145506,-093.0255348,24559.859298300001683,32244012.181899998337030,55109,348,348.000000000000000,55109,34135.000000000000000,22747.000000000000000,2001.000000000000000,3538.000000000000000,4161.000000000000000,107.000000000000000,1463.000000000000000,0.333616522630731,0.103647282847517,0.058620184561301,0.121898344807382,0.003134612567746,asian,10.194814706313169,61.000000000000000,2018,55109,ZCTA5 55109,median_hh_income,62858,2545
